Question,Answer
"Большое спасибо!👍👍👍👍, Скажите пожалуйста, почему у некоторых абитуриентов уже написано согласие на зачисление? И когда его вообще пишут? Разве можно давать согласие, если не известно ещё проходишь ты или нет., Речь идёт о поступающих на бюджет, Является ли согласие написанное уже сейчас гарантией поступления на бюджетное место?","Согласие на зачисление пишется до 1 августа, если абитуриент потенциально проходит на бюджетное место. О своих шансах на поступление нужно консультироваться с факультетом, куда подавали заявление. Более ясная картина будет прослеживаться с 26 июля, так как закончится приём документов на очную форму (бюджет). Однако уже сейчас можно связываться с факультетом и узнавать, когда стоит написать согласие и на какое именно направление из 3х указанных в заявлении Вы проходите."
"Здравствуйте. Надо ли какие-то из документов, отправляемые по почте, заверять нотариально?","Здравствуйте! Вы можете прикрепить сканы документов в Личном кабинете на сайте. В таком случае заверять ничего не надо."
"Здравствуйте! Что делать после прикрепления сканов документов в личном кабинете?","Здравствуйте! Теперь можете позвонить в приёмную комиссию своего факультета и поинтересоваться, всё ли дошло и всё ли верно в заявлении. Тел. факультета Вы можете посмотреть здесь https://www.vyatsu.ru/abiturientu/univers/dni-otkryityih-dverey-1/kontaktyi-otborochnyih-priemnyih-komissiy.html"
"Здравствуйте. Возможно ли поступление на заочное отделение по собеседованию (без тестирования), имея диплом СПО с отличием (коррекционная педагогика в начальном образовании)? Психология, психолого-педагогическое образование. Спасибо","Здравствуйте! В любом случае Вам нужно будет сдать вступительные тесты. Диплом с отличием принесёт Вам дополнительные 5 баллов к баллам, полученным Вами на экзаменах."
"Добрый день, когда будет известно поступила я на бюджет или нет?","Здравствуйте! Зачисление на очную форму на бюджет 3-го августа (первая волна) и 8-го августа (вторая волна). До 1 августа Вас будут информировать о Ваших шансах на поступление, и Вам нужно будет принести оригинал документа об образовании в приёмную комиссию тоже до 1 августа."
"Здравствуйте. Поступаю по целевому договору на начальное образование,иностранный яз. Не подскажите, сколько всего целевиков идет на данную профессию? При зачислении учитывают только баллы егэ или еще что-то?","Здравствуйте! При зачислении учитываются баллы ЕГЭ и наличие оригинала аттестата. У Вас также должен быть договор по целевому. По поводу целевых мест проконсультируйтесь с Касимовой Светланой Геннадиевной по тел. 74-29-29"
"Здравствуйте, какого число вступительный экзамен по рисунку? градостроительство","Добрый день!https://www.vyatsu.ru/uploads/file/1606/sroki_vi.pdf, Сроки опубликованы на официальном сайте ВятГУ, ссылка в предыдущем сообщении"
"Здравствуйте, нужна ли справка у86, при подаче документов на градостроительство?","Добрый день! На 'Градостроительство' медицинская справка не нужна, но она Вам может понадобиться при заселении в общежитие, либо при медицинском осмотре на первом курсе"
"хорошо, спасибо, Еще один вопрос. при поступлении на градостроительство в вступительном испытании написано натюрморт из 3х фигур с драпировкой, но в примере работ еще поставлена и ваза. Будет ли ваза на экзамене или только геометрические фигуры?","композицию составляет экзаменационная комиссия факультета, поэтому возможны варианты"
"Здравствуйте, недавно подала все документы (оригиналы), но только на одну специальность. Сейчас решила еще на одну. Мне придется заново переписывать все заявления или я могу онлайн добавить еще одну специальность?","По поводу добавления в заявление направлений подготовки позвоните в приёмную комиссию того факультета, куда Вы подали оригинал. Телефон должен быть указан в Вашей памятке или можете посмотреть контакты на нашем сайте https://www.vyatsu.ru/abiturientu/univers/dni-otkryityih-dverey-1/kontaktyi-otborochnyih-priemnyih-komissiy.html"
"Здравствуйте!сколько нужно баллов,чтобы поступить на педагогическое образование (с двумя профилями подготовки)математика/информатика?","Добрый день! Проходной балл формируется по последнему зачисленному на бюджетное место. Итоги приема 2015 года опубликованы на официальном сайте https://www.vyatsu.ru/uploads/file/1604/itogivyatggu.pdf"
"Добрый день, сколько баллов дают за диплом призера регионального этапа олимпиады?, Добрый день, для предоставлении 10 дополнительных баллов за аттестат с отличием, мне нужно подавать только аттестат или ещё предоставить удостоверение к медали?  Заранее спасибо","Добрый день! В Вашем аттестате должно быть прописано 'аттестат с отличием', в принципе этого достаточно. Но на всякий случай возьмите с собой и удостоверение к медали."
"Добрый день! Подскажите, пожалуйста, могу ли я поступить на бюджет, если я из Украины? (в см, Здравствуйте! Подскажите, пожалуйста, могу ли я поступитьт в университет,  я по русский не так  хорошо знаю ?, ?","Да, можно поступить на бюджет, только нужно подать заявление на поступление до 15 июля, а также подтвердить статус соотечественника. Статус соотечественника получают иностранные граждане, родители которых родились или являлись граджанами бывш. СССР. То есть для подтверждения необходимо предъявить свидетельство о рождении, а также свидетельство о рождении одного из родителей. А также, на всякий случай, свидетельство о браке родителей."
"Здравствуйте, скажите пожалуйста можно мне сейчас через личный кабинет подать документы, а оригинал аттестата до окончания приема документов, привезет другой человек, но с нотариальной доверенностью?","Добрый день! Да, конечно. Если у Вас уже есть результаты ЕГЭ и аттестат, то можете спокойно заполнять заявление через личный кабинет"
"Я закончила в том году, год получилась в Иваново, но ушла, не закрыв 2 сессию, мне нужно будет предоставить справку о зачётах и экзаменах которые я сдавала? Оригинал аттестата можно будет провести в любой день?, Проучилась*","В любой день Вы сможете подать документы до 25 июля. Академическую справку на всякий случай возьмите."
"Если другой человек за меня подаст документы, но с нотариальной доверенностью, можно?","Если будет нотариальная доверенность, то можно"
"Добрый день! У меня такой вопрос. Я закончил в этом году техникум. И хочу поступить на юридический заочно, нужно ли писать вступительные экзамены и какие? Или можно их написать дистанционно? и сколько стоит обучение год?","Добрый день! Если Вы хотите поступать на заочную форму обучения, то нужно будет сдавать тестирование по русскому языку, истории и обществознанию лично в 1 корпусе ВятГУ, если же Вы хотите поступать на дистанционную форму обучения, то и вступительные можно сдавать дистанционно, Стоимость будет установлена к 20 июня"
"Здравствуйте!Можно ли поинтересоваться. Я поступала в ВЗФЭИ в 2010 году (заочно,бесплатно прошла по баллам),его сейчас как мне известно присоединили к ВятГУ, я отучилась всего лишь год,по семейным обстоятельствам не стала учиться,забрала документы.Можно ли мне сейчас восстановиться?Или вообще что мне сейчас нужно сделать для дальнейшего обучения?","Вопросами восстановления занимается деканат. Позвоните, пожалуйста, по телефону 742-658."
"Учусь на ЮФ, хочу получить второе высшее образование параллельно с первым. Возможно ли это? Если да, то что мне нужно для этого делать, Можно получить хоть какой-то ответ?","Добрый день! Вы можете получать второе высшее образование параллельно в том случае, если у Вас есть результаты ЕГЭ для интересующего Вас направления. Например: если Вы захотите получать экономическое образование, то Вам необходимы результаты ЕГЭ по русскому языку, математике (профильного уровня) и обществознанию., Прием документов начинается с 20 июня. При себе нужно иметь паспорт, копию документа об образовании и 4 фотографии 3*4 см. Для зачисления необходима будет справка из деканата, что Вы действительно обучаетесь у нас и оригинал Вашего аттестата находится в вузе."
"Здравствуйте, можно вопрос?","Добрый день! Да, конечно)"
"Скажите, пожалуйста, какой суммарный балл по ЕГЭ нужно набрать на Электромеханику?, ","Добрый день! проходной балл формируется по последнему зачисленному на бюджетное место, следовательно каждый год он меняется. В 2015 году проходной балл составлял 167 в первую волну и 150 во вторую волну."
"Здравствуйте, вы можете подсказать, чтобы потом у вас пойти на высшее юридическое, на кого поступить в колледже? Хотела в этом году поступить, но оказывается у меня егэ неподходящее. Мне посоветовали отучиться в вашем колледже, а потом пойти на высшее.","Добрый день! После окончания Колледжа на юридические направления подготовки Вы сможете поступить только на очную форму обучения, так как уже со следующего года прием на заочную форму на направление 'Юриспруденция' может осуществляться только как второе высшее образование."
"Жаль (( а вот государственное и муниципальное направление? тот же вопрос, чтобы поступить на высшее, какую специальность необходимо освоить в колледже? Или там тоже какие то загвоздки?","На данное направление Вы можете поступить с любым средним профессиональным образованием. Однако Вам будет проще учиться, если Вы выберете что-то сходное - Экономика, Земельно-имущественные отношения, Финансы, Право и организация соц. обеспечения"
"а вот если я отучусь в направлении нефть/газ, просто в моем городе особо выбора нет, тоже смогу поступить?","да, конечно"
"Спасибо за ответы","После колледжа Вы можете сдавать наши внутривузовские тесты (по крайней мере, пока так), а можете ЕГЭ - выбирать Вам. Либо же можете сдать ЕГЭ на следующий год и поступить сразу на высшее образование."
"не хочется год терять, я и так в том году поступила, по глупости документы забрала и год вот сижу просто так, лучше бы училась.","Какие у Вас сейчас ЕГЭ?"
"русский две математики, профиль я завалила думаю, даже не интересовалась, вобщем мне 25, я вечерку заканчивала. Чтобы вы там не подумали ничего такого), я не думала о высшем вообще в принципе, я школу закончила в 2007, училась в колледже, горном, потом забеременела и бросила. и вот решила закончить вечерку, чтобы восстановиться, но заочно. На заочку ведь только после 11 классов, но поняла, что бухгалтерия мне неинтересна. И вот ищу куда бы пойти.","Мы ничего такого не подумали) Вам сейчас следует определиться с тем, какой профессией Вы хотели бы овладеть, чтобы не терять времени."
"мне интересно специальность юриста, либо есть еще управление, вот то, про что я спрашивала у вас., интересна*","Вы можете поступить в колледж как в Вашем городе, так и в нашем. У нас есть заочная форма по направлению 'Право и организация соц.обеспечения'. По итогу Вы получаете квалификацию 'Юрист'. Также есть направление 'Земельно-имущественные отношения' (там тоже много юридических и налоговых аспектов). По данному направлению есть и заочная, и дистанционная форма, что в случае, сели Вы живёте в другом городе очень подойдёт. После окончания колледжа Вы можете поступать на высшее образование - любое, кроме 'Юриспруденции' и 'Экономики'. Можно будет выбрать управленческие специальности. Подробности про обучение в колледже Вы можете узнать по следующим телефонам: 8(8332) 74-26-74, 208-513, 208-511"
"Хорошо, спасибо вам большое за информацию!🌹","Пожалуйста✨"
"Добрый день, хочу в этом году поступать в магистратуру на бюджет.  38.04.01 - Экономика. Бухгалтерский учет и контроль. Будут ли организованы подготовительные курсы? Если будут то когда и стоимость?","Здравствуйте! Курсов для поступления в магистратуру наш вуз не организует. Однако Вы можете подготовиться самостоятельно, изучив соответствующую программу вступительного испытания и порешать примерные тесты. Всё это Вы сможет найти здесь https://www.vyatsu.ru/abiturientu/univers/dni-otkryityih-dverey-1/magistratura-vyatgu-1.html"
"Здравствуйте хочу поступить ВятГГУ на основании ФГОС ВПО на экономиста в магистратуру, скажите очная форма обучения у вас платная? И подскажите сумму стоимотри проживания в общежитии. Буду очень благодарен если ответите, И ещё, хотел бы узнать, какие экзамены нужно сдавать на экономиста (финансы и кредит) в магистратуру если есть диплом среднего профессионального образования по специальности банковское дело","Добрый день! Скажите, у Вас есть уже высшее образование?, Специалитет или бакалавриат?"
"Нет только среднее профессиональное","Тогда Вы не можете поступать в магистратуру. Вы можете поступать на бакалавриат по направлению 'Экономика' (выделено 10 бюджетных мест на очной форме) или специалитет 'Экономическая безопасность' (15 бюджетных мест на очной форме). Стоимость обучения на очной форме на платной основе - 70-80 тысяч рублей. Точная стоимость будет известна к 20 июня. Стоимость проживания в общежитии - примерно 700 р./мес."
"Добрый день! Хочу в 2017 году поступить в Ваш вуз на бухгалтера(заочно), у меня первое высшее( у меня есть диплом о среднем профессиональном образовании) ! Это обучение бесплатное? если нет то сколько в год будет стоить ? и дату поступления подскажите , когда приезжать ..., Прием на учеьный годт начнется 20 июня 2017 года ?, на бюджетой основе можно поступить?","Здравствуйте! Приём документов будет с 20 июня. Вы можете подъехать в июле и сразу подать документы и сдать тесты по математике, обществознанию и русскому языку. Обучение платное - примерно 30-35 тысяч рублей в год"
"Добрый день! Нужна подсказка. В 2010 году закончила школу, сдавала ЕГЭ, далее получила высшее образование. На данный момент подумываю получить второе высшее по направлению промышленная теплоэнергетика (заочно). На сайте указано, что для поступления необходимы ЕГЭ математика, русский, физика. Перезачтут ли мне математику и русский или нужно будет сдавать повторно? (физику изначально не сдавала) Возможен ли формат тестирования, а не ЕГЭ? заранее спасибо","Здравствуйте! ЕГЭ 2010 года уже недействительны. Если у Вас есть высшее образование, то ЕГЭ сдавать необязательно - Вы можете сдать внутривузовское тестирование по математике, физике и русскому языку."
"Добрый день, хочу поступить на заочное обучение. Документы принимаются в течение года?","Здравствуйте! Документы можно будет подавать с 20 июня по 8 августа на бюджетные места; с 20 июня по 25 августа на платные места."
"Здравствуйте! Могли бы скинуть ссылку на олимпиады ВятГу, а то у меня написано лишь, что 'список олимпиад появится после 15 октября'? Спасибо!","Здравствуйте! Сейчас новый список олимпиад находится на согласовании. В ближайшее время ссылка появится на сайте."
"Спасибо, хорошо!, Добрый вечер! Скажите, пожалуйста, откуда можно скачать олимпиадные задания для абитуриентов?","Здравствуйте! Для того, чтобы узнать порядок участия в олимпиадах и задания, Вам необходимо связаться с той кафедрой, которая проводит понравившуюся Вам олимпиаду. Открываете данную ссылку https://www.vyatsu.ru/abiturientu/univers/dni-otkryityih-dverey-1/predmetnyie-olimpiadyi-nauchnyie-i-tvorcheskie-kon-1.html Затем нажимаете на названия институтов, выбираете олимпиаду и либо созваниваетесь с кафедрой, либо пишете им письмо на электронную почту."
"Здравствуйте, есть ли шанс поступить на платную заочную форму обучения по специальности Технология машиностроения, если знание физики минимальное? Имеется диплом о среднем профессиональном образовании по экономической специальности. Работаю на АО Лепсе, хотелось бы освоить эту специальность","Здравствуйте! Раз у Вас есть среднее профессиональное образование, то для поступления на направление 'Машиностроение'. Вам необходимо будет сдать в вузе тесты по математике, физике и русскому языку. Шанс поступить, конечно же, есть. Приёмная комиссия откроется 20 июня, так что до этого времени Вы можете либо самостоятельно поготовиться к тестам (примеры тестов и программы вступительных испытаний можно посмотреть на нашем оф.сайте во вкладке 'Абитуриенту'), а также можно будет посетить летние курсы. Информацию по курсам можно уточнить по тел. 8(8332) 32-11-42."
"Здравствуйте.Будет ли день открытых дверей у Политехнического института в 2017 году(в начале), Скажите пожалуйста : факультет Строительство Профиль «Автомобильные дороги» » есть ли вступительное испытание кроме результатов ЕГЭ по предметам.Заранее спасибо.","Здравствуйте! День открытых дверей, по всей вероятности, будет примерно в марте (следите за новостями в группе и на сайте). Если Вы сдадите ЕГЭ по математике (профильный уровень), физике и русскому языку, то никаких дополнительных вступительных испытаний в вузе сдавать не нужно."
"Здравствуйте! У вас день открытый дверей факультета физической культуры и спорта 10 декабря только для поступающих в институт? А колледж?","Здравствуйте! День открытых дверей в колледже проходил 3-го декабря. 10-го октября будет день открытых дверей для поступающих в вуз."
"Здравствуйте! как узнать когда начнется сессия? Специальное (дефектологическое) образование.","Здравствуйте! Обратитесь в деканат факультета педагогики и психологии по телефону 8(8332)74-25-84"
"Здравствуйте!😊 Не могу найти информацию по стоимости обучения. Сколько будет стоить обучение по специальности 'Культурология'(заочная форма)?","Добрый день! Стоимость обучения на 2017 год пока не установлена. В Этом году стоимость за год - 29000 рублей."
"Здравствуйте! Мне 41 год, хочу к Вам поступить на факультет экономики, на платную заочную форму обучения. Закончила ухтинский лесной колледж в 2001г. Что мне для этого надо и сколько будет стоить обучение? Заранее благодарна.","Добрый день! Для поступления Вам необходимо будет подать документы (диплом об СПО, паспорт, 4 фотографии 3*4см). Далее нужно будет сдать вступительные испытания в виде тестирования (математика, обществознание, русский язык). Стоимость обучения будет установлена к 20 июня (в 2015 году стоимость на данном направлении 29000 рублей в год)."
"Когда можно будет приехать на тестирование? Есть вероятность, что я его не пройду? Ведь много времени прошло, и всё подзабылось.","Тестирование Вы можете сдать в любой удобный для Вас день. Для заключения договора необходимо набрать хотя бы установленный минимум: математика - 27, русский язык - 36, обществознание - 42"
"Есть какие то рассрочки платежа?","Да конечно, при заключении договора пишете заявление на рассрочку (либо на 2 части и платите раз в полгода, либо на 10 частей и платите каждый месяц)"
"А если обучаться дистанционно, то приезжать в Вам тоже надо, чтоб подать документы?","Нет, документы можно будет подать либо по обычно почте, либо в электронной форме через официальный сайт ВятГУ"
"Я приеду к Вам после 20 июня. Скажите, куда нужно подойти вначале на ул.К.Маркса или на ул.Московскую?","ул. Московская, 36. Главный корпус ВятГУ"
"Добрый день! Скажите, пожалуйста, когда буду сессии в 2017 году. Я поступила на экономику на коммерческой основе. На работе делают уже график на 2017 год и с меня спрашивают.","Здравствуйте! По поводу сессии и её сроков узнавайте, пожалуйста, у методистов заочной формы обучения факультета экономики и финансов по тел. 8(8332) 208-346"
"Здравствуйте! У меня сессия будет до 29 октября. Это суббота, по субботам Вы работаете? Или можно будет мне билет домой брать на 28 вечером?","Добрый день! По субботам также идут пары, но лучше выяснить данную информацию в деканате своего факультета 208-346"
"Добрый день, можно узнать номер группы? Факультет экономики и финансов банковское дело заочно.","Добрый день! Сейчас Вы уже студент и по всем вопросам нужно обращаться в деканат своего факультета 208-346."
"Здравствуйте, у меня такой вопрос😊я в этом году поступила заочно на правоохранительную деятельность, ускоренное обучение, к сожалению у нас с 21 октября сессия установочная, но мне надо в Москву уезжать , на работу позвали. Я позвонила в деканат , мне сказали прийти на кафедру и получить задания . Что мне делать и куда обратиться , не сможете помочь ??)","Здравствуйте! Теперь Вы студентка, поэтому все вопросы решаете через деканат. Если там Вам посоветовали обратиться на кафедру - значит нужно звонить и приходить на кафедру. Адреса и телефоны кафедр юридического института имеются на нашем сайте здесь https://www.vyatsu.ru/studentu-1/nauka-i-praktika/yuridicheskiy.html"
"Подскажите пожалуйста,я за учебу заплатила через онлайн,чек каждый месяц надо приносить показывать или отправлять по электронке .","Добрый день! Да, скан чека нужно отправлять каждый месяц"
"На какую Эл.почту. в памятке написано у меня туда не отправляется. Может лучше придти и показать,что оплачено., ","Скан первого платежа отправьте на этот адрес приёмной комиссии  prcom@vyatsu.ru Сканы следующих платежей Вы отправляете уже Вашему факультету (эл. адрес можно будет спросить у методиста по заочной форме обучения во время установочной сессии)."
"Первый платеж я приносила и показывала,а второй платеж вчера уже отправила на Эл.почту которая была указана в договоре.","Тогда всё в порядке."
"Подскажите когда начнется сессия госуд.и муниципальное управление ускорен.","По поводу начала сессии и других вопросов, связанных с процессом обучения, Вы можете обратиться к методистам заочной формы обучения факультета менеджмента и сервиса по тел. 8(8332) 208-346"
"Здравствуйте, как можно узнать группу и когда начинается первая сессия на заочном отделении ,первый курс , государственное и муниципальное управление?, Здравствуйте.Подскажите когда начинается установочная сессия и по какому адресу - Государственное и муниципальное управление.Заочно.","Здравствуйте! По поводу сессии Вы можете обращаться к методистам заочной формы Вашего факультета по тел. 8(8332) 208-346"
"Добрый вечер Мне нужно сдать экзамены на заочное платное Возможность приехать есть только 15 августа Я успею сдать их до 20 августа? Просто не могу найти информации в какие дни сдаются экзамены, русский математика физика","Здравствуйте! Вы можете подъехать в любой день. С понедельника по пятницу тестирование сдаётся в 10.00 и в 14.00, в субботу - с 10.00. Лучше приезжать пораньше, чтобы успеть оформить все необходимые документы (подать заявление с документами, получить экз.лист и т.д.). Приёмная комиссия работает с 9.00. Вы можете сдать все тесты за 1 день, а можете распределить их, как Вам удобно."
"Огромное спасибо), А еще вопрос,когда будут известны результаты тестирования?","В принципе, в этот же день., Вы сможете за 1 день сдать все тесты, узнать результат и при условии успешного прохождения тестирования сразу заключить договор на платное обучение."
"Спасибо), Добрый день) Мне дали квитанцию на оплату обучения,я ее оплатил,мне надо именно от сканировать и отправить,или можно просто сфотографировать? И куда именно нужно отправить?","Здравствуйте! Можно отправить фото, но хорошего качества. Обязательно укажите ФИО, форму обучения и направление подготовки, куда поступаете. Адрес эл. почты: prcom@vyatsu.ru"
"Здравствуйте) Подскажите пожалуйста,где узнать в какую группу я зачислен и расписание на установочную сессию у заочников?","Здравствуйте! Если Вы зачислены, то теперь все вопросы решаете в деканате Вашего факультета) Телефоны факультетов https://www.vyatsu.ru/studentu-1/nauka-i-praktika.html"
"где будут учиться заочники юридического факультета, где будут учиться юристы-заочники","Студенты юридического института, в основном, будут учиться на Красноармейской, 26"
"когда проходит установочная сессия в 1 или 2 смену","Это Вам можно узнать в деканате юридического института. Тел. 8(8332) 742-760, 742-761 или 742-770"
"когда у юристов заочников начнется установочная сессия","Сроки сессии устанавливаются учебно-методическим отделом. Справка вызов на сессию придёт к Вам за 2 недели до сессии (ориентировочные сроки - октябрь)."
"какие дисциплины будут изучать студенты-юристы 1 курса заочного отделения","Данные вопросы нужно задавать не приёмной комиссии, а факультету, где Вы будете обучаться, так как именно у факультета имеются учебные планы. Телефон 8(8332) 742-770"
"сложно ли учиться юристам-заочникам","Всё зависит от Вас)"
"когда юристы-заочники получат студенческий билет","Добрый день! На установочной сессии."
"когда станет известно № группы заочников-юристов","с этим вопросом лучше обратиться в деканат по телефону: 74-27-70"
"график учебного процесса юристов-заочников 1 курса","В деканате."
"примерно какого числа на почту пришлют справку-вызов для юристов-заочников 1 курса","За пару недель до установочной сессии."
"когда закончится набор на заочную форму обучения","20 сентября"
"когда опубликуют окончательный состав группы заочников-юристов","В конце сентября группы будут сформированы"
"во сколько будут проходить установочная сессия у юристов заочников","Раз теперь Вы студент, то все вопросы адресуете в деканат Вашего факультета."
"говорили что справку-вызов отправят за 2 недели до сессии","Да. За 10-14 дней до сессии"
"сессия 21 сентября а справки до сих пор нет","Звоните в деканат."
"какой телефон","74-27-70"
"а во сколько можно звонить, а почему так поздно объявили начало сессии для заочников, говорили сессия будет в начале октября, можно узнать отправили ли справку-вызов по почте","Звоните в деканат 8(8332)74-27-70. Вероятнее всего, они работают с 9 до 17."
"когда будет расписание юристов-заочников","Интересуйтесь в деканате. Также можете написать в группу Юридического института. Вот ссылка: https://vk.com/uf_vyatsu"
"во сколько приходить 21 сентября юристам-заочникам а то расписания до сих пор нет, будет ли сегодня собрание для первокурсников юристов заочников, что значит 2-209, будет ли в пятницу организационное собрание","2-209 - это 209 кабинет 2-го корпуса, Про собрание уточняйте в деканате., Адрес 2-го корпуса - Московская, 39 (на Театральной площади)"
